list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
RA	3899	340	8	1	1.43	0.518385366801783	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
melanoma	1666	126	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
HCC	1666	58	5	3	17.23	0.000381456564718373	HCC_high x eQTLGen_blood	known_kb	500	own outcome
colorectal	1666	268	5	3	3.73	0.0320064233482617	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
prostate	1666	42	5	1	7.93	0.11999001788096	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
RA	1666	105	5	1	3.17	0.278121915982683	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
melanoma	2606	249	6	0	0	1	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
HCC	2606	136	6	4	12.77	9.81891288291233e-05	HCC_high x eQTLGen_blood	locus_kb	500	own outcome
colorectal	2606	563	6	4	3.09	0.0222607757534135	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
prostate	2606	89	6	1	4.88	0.188358383262084	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
RA	2606	235	6	1	1.85	0.433115313267251	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
melanoma	1666	180	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
HCC	1666	92	5	3	10.87	0.00150414083167835	HCC_high x eQTLGen_blood	known_kb	1000	own outcome
colorectal	1666	391	5	3	2.56	0.0877266571123268	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
prostate	1666	64	5	1	5.21	0.178073014352696	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
RA	1666	163	5	1	2.04	0.40277679767851	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
melanoma	1666	180	5	0	0	1	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
HCC	1666	92	5	3	10.87	0.00150414083167835	HCC_high x eQTLGen_blood	locus_kb	1000	own outcome
colorectal	1666	391	5	3	2.56	0.0877266571123268	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
prostate	1666	64	5	1	5.21	0.178073014352696	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
RA	1666	163	5	1	2.04	0.40277679767851	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
melanoma	641	15	41	4	4.17	0.0117794146678062	RA x Soskic_CD4	known_kb	100	unrelated control
HCC	641	8	41	3	5.86	0.0108821464176367	RA x Soskic_CD4	known_kb	100	unrelated control
colorectal	641	37	41	8	3.38	0.00135700508033143	RA x Soskic_CD4	known_kb	100	unrelated control
prostate	641	4	41	1	3.91	0.232825696863806	RA x Soskic_CD4	known_kb	100	unrelated control
RA	641	15	41	7	7.3	1.15277893722951e-05	RA x Soskic_CD4	known_kb	100	own outcome
