partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
NK	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
NK	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
NK	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
NK	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
NK	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
NK	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
NK	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
NK	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
NK	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
NK	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
NK	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
NK	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL3_CCR5	0.0106106828392801	0.0189855862657588	-0.00837490342647866	0.0100937448145347	0.01757009793774	-0.00747635312320532	TRUE	0.00837490342647866
NK	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL4_CCR5	0.0356046047429472	0.062461533700828	-0.0268569289578809	0.0339117330085542	0.0579962817550793	-0.0240845487465251	TRUE	0.0268569289578809
NK	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
NK	CCL5_CCR5	0.0499744800279388	0.0866963317039958	-0.0367218516760569	0.0476321175523872	0.0806476123068373	-0.0330154947544501	TRUE	0.0367218516760569
NK	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
NK	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
Plasma	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
Plasma	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
Plasma	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
Plasma	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
Plasma	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
Plasma	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
Plasma	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL3_CCR5	0	0	0	0	0	0	TRUE	0
Plasma	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL4_CCR5	0	0	0	0	0	0	TRUE	0
Plasma	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL5_CCR5	0	0	0	0	0	0	TRUE	0
Plasma	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
Plasma	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
Plasma	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
Plasma	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
Plasma	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
Tprolif	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
Tprolif	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
Tprolif	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
Tprolif	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
Tprolif	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
Tprolif	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
Tprolif	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
Tprolif	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
