sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P12	Non-responder	lo	28	5.80928571428571	8.115	0.714285714285714	CCR5	TPI1
Post_P13	Non-responder	hi	19	0.813157894736842	0	0.105263157894737	CCR5	TPI1
Post_P13	Non-responder	lo	19	0.867368421052632	0	0.105263157894737	CCR5	TPI1
Post_P14	Non-responder	hi	20	1.8575	0	0.25	CCR5	TPI1
Post_P14	Non-responder	lo	20	3.199	0	0.4	CCR5	TPI1
Post_P15	Non-responder	hi	17	0.990588235294118	0	0.117647058823529	CCR5	TPI1
Post_P15	Non-responder	lo	17	0	0	0	CCR5	TPI1
Post_P16	Non-responder	hi	28	1.18821428571429	0	0.142857142857143	CCR5	TPI1
Post_P16	Non-responder	lo	28	2.81214285714286	0	0.392857142857143	CCR5	TPI1
Post_P17	Responder	hi	29	0.283793103448276	0	0.0344827586206897	CCR5	TPI1
Post_P17	Responder	lo	29	0.317586206896552	0	0.0344827586206897	CCR5	TPI1
Post_P18	Non-responder	hi	22	0.371363636363636	0	0.0909090909090909	CCR5	TPI1
Post_P18	Non-responder	lo	22	1.16	0	0.136363636363636	CCR5	TPI1
Post_P19	Responder	hi	22	0.776363636363636	0	0.0909090909090909	CCR5	TPI1
Post_P19	Responder	lo	22	0.773636363636364	0	0.136363636363636	CCR5	TPI1
Post_P20	Non-responder	hi	17	3.30705882352941	0	0.470588235294118	CCR5	TPI1
Post_P20	Non-responder	lo	17	2.36058823529412	0	0.352941176470588	CCR5	TPI1
Post_P21	Responder	hi	20	1.7415	0	0.2	CCR5	TPI1
Post_P21	Responder	lo	20	0.82	0	0.1	CCR5	TPI1
Post_P22	Non-responder	hi	9	1.11	0	0.222222222222222	CCR5	TPI1
Post_P22	Non-responder	lo	9	1.78444444444444	0	0.333333333333333	CCR5	TPI1
Post_P23	Non-responder	hi	22	3.26136363636364	0	0.454545454545455	CCR5	TPI1
Post_P23	Non-responder	lo	22	3.18681818181818	0	0.409090909090909	CCR5	TPI1
Post_P23_2	Non-responder	hi	30	2.406	0	0.3	CCR5	TPI1
Post_P23_2	Non-responder	lo	30	3.219	0	0.433333333333333	CCR5	TPI1
