direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_mean_hi	raw_mean_lo	raw_delta_mean	n_sig_hi	n_sig_lo	threshold_sum_hi	threshold_sum_lo	threshold_delta	threshold_effect	raw_relative_pct	netP_hi	netP_lo	netP_delta	error_hi	error_lo
Incoming_partner_to_CD4	Plasma	IL6	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	INSULIN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	JAM	10	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	KIT	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	KLK	12	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	L1CAM	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	LAIR1	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	LAMININ	139	0.0132247904035106	0.0125451567611161	0.000679633642394548	9.51423770036735e-05	9.02529263389645e-05	4.88945066470898e-06	1	1	0.0132247904035106	0.0125451567611161	0.000679633642394548	0	5.27462193114197	0.0132247904035106	0.0125451567611161	0.000679633642394548	0	0
Incoming_partner_to_CD4	Plasma	LCK	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	LEP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	LIFR	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	LIGHT	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	LT	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	MADCAM	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	MELANOCORTIN	5	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	MHC-I	41	0.953763707613267	1.78586585680145	-0.832102149188182	0.0232625294539821	0.0435577038244256	-0.0202951743704435	0	6	0	1.15040707376553	-1.15040707376553	-0.318304924577349	-60.7455956817249	0	1.15040707376553	-1.15040707376553	0	0
Incoming_partner_to_CD4	Plasma	MHC-II	12	0.103787053632916	0	0.103787053632916	0.00864892113607635	0	0.00864892113607635	7	0	0.103787053632916	0	0.103787053632916	0	200	0.103787053632916	0	0.103787053632916	0	0
Incoming_partner_to_CD4	Plasma	MIF	4	0.565805705063999	0.561798678075614	0.00400702698838462	0.141451426266	0.140449669518903	0.00100175674709616	2	2	0.565805705063999	0.561798678075614	0.00400702698838473	1.11022302462516e-16	0.710715043023826	0.565805705063999	0.561798678075614	0.00400702698838473	0	0
