cell	sample	grp	match_pair	nFeature	Glyco
G1_P3_M13_L001	Post_P15	hi	Post_P15__8__2	1691	3.63140676117775
G2_P1_M43_L001	Post_P14	lo	Post_P14__12__1	2469	1.30467284623773
G2_P1_M47	Post_P4	hi	Post_P4__11__2	2287	2.7051772082879
G2_P3_M89_L001	Post_P28_2	lo	Post_P28_2__12__1	2448	1.22876772082879
G2_P7_M74_T_enriched	Post_P13	lo	Post_P13__12__1	2500	0.273677753544169
G3_P4_M67_L001	Post_P6	hi	Post_P6__13__1	2773	3.33749363867684
G4_P4_M13_L001	Post_P15	lo	Post_P15__8__2	1691	0.733154307524539
G5_P2_M43_L001	Post_P14	hi	Post_P14__12__2	2490	2.81350872410032
G5_P2_M67_L001	Post_P6	hi	Post_P6__19__1	3802	3.05499182115594
G5_P5_M67_L001_T_enriched	Post_P6	lo	Post_P6__12__2	2582	-1.19354143947655
G6_P1_M47	Post_P4	lo	Post_P4__11__3	2368	-2.96042802617231
G6_P2_M13_L001	Post_P15	lo	Post_P15__9__1	1849	0.0644183933115228
G6_P4_M23	Post_P3	lo	Post_P3__11__1	2206	1.2204189385678
G6_P6_M83_L001	Post_P23	lo	Post_P23__10__1	2011	1.57818974918212
G6_P9_MMD2-36B_L001	Post_P10	hi	Post_P10__13__2	2651	4.78447382769902
G7_P1_M89_L001	Post_P28_2	lo	Post_P28_2__12__2	2502	1.52711650308978
G8_P3_M89_L001	Post_P28_2	lo	Post_P28_2__15__3	3092	1.78734005816067
G8_P5_MMD8_L001	Post_P16	lo	Post_P16__10__1	2040	1.1786032351872
G9_P5_M45_L001	Post_P18	lo	Post_P18__9__1	1845	0.705143584151218
H10_P1_M39_T_enriched	Post_P2	lo	Post_P2__20__1	4177	0.192892584514714
H10_P5_M13_L001	Post_P15	hi	Post_P15__8__3	1747	2.7838949472919
H12_P6_M14	Post_P1	hi	Post_P1__11__3	2356	4.32270810614322
H1_P9_MMD2-36B_L001	Post_P10	hi	Post_P10__9__2	1829	2.75921119592875
H2_P1_M23	Post_P3	hi	Post_P3__9__1	1876	2.43974100327154
H2_P2_M15	Post_P1	hi	Post_P1__17__1	3415	3.30758905852418
H2_P3_M44_L001	Post_P11	lo	Post_P11__8__1	1607	1.10042893493275
H2_P4_MMD7_L001	Post_P19	lo	Post_P19__10__2	2053	-0.279711014176663
H3_P2_M47	Post_P4	hi	Post_P4__11__3	2345	2.54170119956379
H3_P3_M74_L001	Post_P13	lo	Post_P13__10__1	2035	0.737448200654308
H4_P1_M45_L001	Post_P18	lo	Post_P18__9__7	1988	0.122021992002905
H4_P1_MMD1-84B_L001	Post_P5_2	hi	Post_P5_2__10__2	2114	3.24518720465285
H4_P3_M47	Post_P4	hi	Post_P4__20__1	4026	2.53642130134497
H4_P8_MMD2-36B_L001	Post_P10	lo	Post_P10__9__1	1803	-0.245417121046891
H5_P1_M89_L001	Post_P28_2	lo	Post_P28_2__13__3	2699	0.487416394038533
H5_P2_MMD7_L001	Post_P19	hi	Post_P19__8__7	1790	2.27781897491821
H5_P4_MMD7_L001	Post_P19	hi	Post_P19__10__2	2057	3.42151944747365
H5_P9_M36_L001	Post_P3_2	lo	Post_P3_2__6__1	1339	1.47846510359869
H6_P1_M39	Post_P2	hi	Post_P2__13__1	2706	2.39043711377681
H6_P2_M23	Post_P3	lo	Post_P3__11__3	2357	0.802477280988733
H7_P5_M89_L001	Post_P28_2	hi	Post_P28_2__12__1	2443	2.91424391130498
H7_P7_M74_T_enriched	Post_P13	hi	Post_P13__12__1	2558	1.80623682297347
H8_P2_M83_L001	Post_P23	hi	Post_P23__10__1	2027	2.45691112322792
H8_P2_MMD8_L001	Post_P16	lo	Post_P16__9__3	1889	-0.532299163940384
H8_P5_M44_L001	Post_P11	hi	Post_P11__8__5	1792	4.06848964013086
H9_P4_M45_L001	Post_P18	lo	Post_P18__10__2	2020	0.92036804798255
H9_P5_M47_L001	Post_P4	hi	Post_P4__9__3	1932	2.94332424572883
