cell	glyco_grp	tpi1_grp
F5_P5_M83_L001	hi	hi
F6_P2_M13_L001	hi	hi
F6_P2_MMD8_L001	lo	lo
F6_P3_M55_L001	lo	hi
F6_P4_M43_L001	lo	lo
F6_P4_M45_L001	lo	hi
F6_P4_M71_L001	hi	hi
F6_P4_M79_L001	lo	hi
F6_P6_M83_L001	hi	hi
F7_P1_M74_L001	hi	hi
F7_P1_M79_L001	hi	hi
F7_P2_MMD1-84B_L001	hi	lo
F7_P3_M67_L001	hi	hi
F8_P1_M74_L001	lo	hi
F8_P2_M83_L001	lo	lo
F8_P3_MMD5_L001	lo	hi
F8_P4_M71_L001	hi	hi
F8_P7_M74_T_enriched	lo	lo
F9_P12_MMD2-36B_T_enriched	lo	lo
F9_P1_M23	hi	lo
F9_P1_M44_L001	lo	lo
F9_P1_M71_L001	lo	hi
F9_P3_M55_L001	hi	hi
F9_P3_M71_L001	lo	lo
F9_P4_MMD8_L001	hi	lo
F9_P5_M89_L001	hi	hi
F9_P6_M51_L001	lo	lo
G10_P1_M43_L001	hi	lo
G10_P1_M47	lo	lo
G10_P1_MMD1-84B_L001	lo	hi
G10_P3_M67_L001	lo	lo
G10_P5_MMD8_L001	hi	lo
G11_P2_M13_L001	lo	hi
G11_P2_MMD1-84B_L001	hi	lo
G11_P2_MMD7_L001	hi	hi
G11_P3_MMD1-84B_L001	lo	lo
G11_P5_M68_L001	lo	lo
G11_P8_MMD2-36B_L001	hi	hi
G12_P1_M71_L001	hi	lo
G12_P1_M74_L001	hi	lo
G12_P4_MMD7_L001	lo	lo
G12_P5_M74_L001	hi	hi
G12_P5_MMD8_L001	hi	lo
G12_P8_MMD2-36B_L001	hi	hi
G1_P1_M44_L001	lo	hi
G1_P1_M71_L001	hi	hi
G1_P2_M15	hi	lo
G1_P2_M23	lo	hi
G1_P2_M90-7-31-17	lo	lo
G1_P3_M13_L001	hi	hi
G1_P3_M55_L001	hi	hi
G1_P3_M79_L001	lo	lo
G1_P5_M13_L001	hi	lo
G1_P5_M45_L001	lo	hi
G1_P6_M51_L001	hi	hi
G1_P9_M36_L001	lo	hi
G2_P1_M43_L001	lo	hi
G2_P1_M47	hi	hi
G2_P1_M68_L001	lo	hi
G2_P2_M23	hi	lo
G2_P2_MMD1-84A_L001	lo	hi
G2_P3_M71_L001	lo	lo
G2_P3_M89_L001	lo	lo
G3_P10_MMD5_L001	lo	hi
G3_P1_M47	hi	lo
G3_P2_MMD9_L001	lo	lo
