gene	SYMBOL	profile	cell	time	category	near	MR_OR	MR_p	PP_H4	PP_H3	ratio	b_SMR	p_SMR	p_HEIDI	nsnp_HEIDI
ENSG00000163131	CTSS	CD4_Memory_stim_5d	Memory	5d	痣数目通路	RP11-316M1.12	0.865592693536986	0.0384402790751833	0.0127327791444363	0.968011562091863	0.0129827709516893	-0.14075	5.239566e-02	5.618906e-02	12
ENSG00000198734	F5	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.0934139632646	0.00635131064182	0.183134258114431	0.134211633411641	0.577080917083136	0.0826069	1.873153e-02	5.410497e-03	10
ENSG00000235750	KIAA0040	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.955495071894345	0.0352305918909826	0.0817283727892571	0.0228207140094644	0.781722493153871	-0.0454631	4.205103e-02	1.107177e-01	20
ENSG00000157992	KRTCAP3	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.958067831896493	0.0246878485071376	0.106816420798715	0.0311399333787913	0.774276918490293	-0.0424314	3.512384e-02	8.976349e-01	15
ENSG00000277149	TYW1B	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.05243100314904	0.0176181225138622	0.190767368052413	0.0393020721452925	0.829173000501418	0.0507627	1.770707e-02	6.384268e-01	15
ENSG00000158525	CPA5	CD4_Memory_stim_5d	Memory	5d	黑色素瘤已知位点	MKLN1	0.956010742954475	0.00682865244197134	0.300068572729808	0.0184917256033042	0.941952196491329	-0.0447051	9.780559e-03	8.361918e-01	14
ENSG00000155158	TTC39B	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.07442347116913	0.0437854431412964	0.067459611685006	0.0290230419156348	0.699189016548338	0.0714581	5.463517e-02	5.251941e-01	20
ENSG00000135047	CTSL	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.954078546637415	0.0348433575672807	0.0558941533963985	0.469288116921215	0.10642810421341	-0.0461248	4.952574e-02	7.907773e-02	15
ENSG00000057608	GDI2	CD4_Memory_stim_5d	Memory	5d	痣数目通路	FAM208B;GDI2	0.898417629547788	0.0173120370624226	0.151214698787936	0.0853546664056512	0.639198142431483	-0.10712	2.607123e-02	4.834663e-01	20
ENSG00000183049	CAMK1D	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.910835271668548	0.0143010414004023	0.123198705896444	0.141275387035519	0.465825232750253	-0.0933932	2.168815e-02	4.400002e-01	20
ENSG00000254635		CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.06658412977606	0.00204119051430763	0.0826158845801922	0.0922919138345114	0.472339628815813	0.0267745	3.162286e-01	1.361569e-01	18
ENSG00000166272	WBP1L	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.07802392811195	0.0243140963351286	0.0875104386692005	0.0948571534789755	0.479857400311	0.073618	3.786232e-02	9.445866e-01	20
ENSG00000134824	FADS2	CD4_Memory_stim_5d	Memory	5d	色素/发色通路	AHNAK	1.07020738913078	0.0163000118015617	0.194205162357336	0.010833484902014	0.947163693055822	0.066933	2.208893e-02	2.671015e-03	20
ENSG00000197345	MRPL21	CD4_Memory_stim_5d	Memory	5d	色素/发色通路	RP11-554A11.7	0.930976131706709	0.00299420538823771	0.000608901917171123	0.998314994952881	0.000609557864296777	-0.0672099	7.575787e-03	8.410641e-02	20
ENSG00000010626	LRRC23	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.93333361389955	0.0418162344773794	0.0914999610115761	0.0341231419129886	0.728368897769711	-0.0689926	5.604228e-02	7.378595e-01	10
ENSG00000260349		CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.05906817413111	0.0032938977353024	0.357957315539342	0.0315053160408038	0.919105676678199	0.0474568	2.039919e-02	4.311170e-01	9
ENSG00000176476	SGF29	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.935597162290011	0.0256008620187093	0.138354674503805	0.0572013123770348	0.707493934144343	-0.0731543	2.034717e-02	2.489852e-01	19
ENSG00000185324	CDK10	CD4_Memory_stim_5d	Memory	5d	黑色素瘤已知位点	MC1R	0.787758048529488	2.5036438891598e-30	0.0707419651031949	0.370332315124868	0.160385604589361	-0.247716	6.320975e-08	8.567636e-02	20
ENSG00000258315	C17orf49	CD4_Memory_stim_5d	Memory	5d	痣数目通路	TP53	0.950470583190725	0.0333638555328332	0.13103537879291	0.0357127811290017	0.785828034649822	-0.0536361	3.548822e-02	6.538855e-01	9
ENSG00000072778	ACADVL	CD4_Memory_stim_5d	Memory	5d	痣数目通路	TP53	1.14729017175305	0.0178105480035314	0.23738484867651	0.0315113482575595	0.882812220414981	0.137403	2.905454e-02	1.100975e-01	6
ENSG00000170291	ELP5	CD4_Memory_stim_5d	Memory	5d	痣数目通路	TP53	0.951117216201995	0.00408307819922474	0.362607662432138	0.0263381957864497	0.932283130852501	-0.0500396	5.049386e-03	4.197086e-01	8
ENSG00000141127	PRPSAP2	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.919736747960135	0.00316991400721091	0.459891757415155	0.0818186973435509	0.848962307031724	-0.0836678	6.410223e-03	4.721196e-01	18
ENSG00000120071	KANSL1	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.860332576668255	0.000503744293699244	0.430109939397647	0.496529393162747	0.46416110808637	-0.151258	1.897367e-03	NA	NA
ENSG00000141560	FN3KRP	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.933659685024043	0.0433075500951231	0.0565516885932126	0.0454660825496326	0.554331740045849	-0.066515	5.676314e-02	3.266825e-01	20
ENSG00000197134	ZNF257	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.04838262407662	0.00716089571193641	0.0723006249597766	0.728359610535872	0.0903012560815124	0.0474927	9.821130e-03	6.738730e-01	20
ENSG00000126005	MMP24OS	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.07815612456336	0.0327839514883973	0.0432377454530294	0.566522514593258	0.0709094184815311	0.0752523	4.274659e-02	6.523151e-01	19
ENSG00000100219	XBP1	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.13730569249031	0.0010863064407879	0.370324403770736	0.0338125051255932	0.91633403338999	0.128662	4.072660e-03	3.672260e-01	20
ENSG00000239713	APOBEC3G	CD4_Memory_stim_5d	Memory	5d	痣数目通路	PLA2G6	1.17448716234509	0.0270053940176909	0.108390278221367	0.0164290359713205	0.868377453621012	0.160832	3.988661e-02	4.482948e-02	7
ENSG00000168765	GSTM4	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.957054646313818	0.00720693861789789	0.264737803518965	0.0133878179488123	0.951864132911741	-0.0448082	8.429837e-03	7.922317e-01	13
ENSG00000163131	CTSS	CD4_Memory_uns_0h	Memory	0h	痣数目通路	RP11-316M1.12	0.901767512106069	0.0384402790751833	0.070165599384711	0.21580486929652	0.245359598521776	-0.100826	5.711219e-02	5.437258e-02	7
ENSG00000135968	GCC2	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.925029837619289	0.0026614115377621	0.425914946069368	0.0881713393343654	0.828489220899716	-0.0778927	3.918764e-03	4.296851e-02	20
ENSG00000144895	EIF2A	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.94432541643778	0.0368626289016163	0.0925319015391877	0.0390873197662777	0.703027267760817	-0.057439	4.668412e-02	2.377680e-01	8
ENSG00000244459		CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.941607701539104	0.00609654200859335	0.253881170025376	0.0147701290402906	0.945021188836015	-0.0601665	1.272736e-02	5.779888e-01	12
ENSG00000124570	SERPINB6	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.961831305855975	0.0370518767212614	0.217397414163703	0.0518798198097387	0.80733677688157	-0.0517196	1.030517e-02	3.078530e-01	3
ENSG00000277149	TYW1B	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.07336424658834	0.0177855929392031	0.176906306171966	0.0372260287126088	0.82615409890022	0.0660331	3.733724e-02	7.295884e-01	12
ENSG00000158525	CPA5	CD4_Memory_uns_0h	Memory	0h	黑色素瘤已知位点	MKLN1	0.951303776999923	0.0059898113868113	0.298518887289532	0.0185348219038767	0.94154043505427	-0.0488799	9.494922e-03	6.654010e-01	17
ENSG00000079459	FDFT1	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.04848218163587	0.040185786593654	0.0788610594261818	0.0917287200297813	0.462284784455914	0.0473436	4.691610e-02	3.486635e-01	20
ENSG00000104219	ZDHHC2	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.05004671661375	0.0328564035874859	0.0809163737663459	0.027221582456247	0.748269863726538	0.0488347	4.098864e-02	8.429874e-01	20
ENSG00000135047	CTSL	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.947669133843022	0.0348433575672807	0.0394697622790518	0.477964516241246	0.0762797594158684	-0.0527385	4.591457e-02	4.113958e-02	18
ENSG00000148290	SURF1	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.0560452953528	0.0484815755814387	0.0555458733500406	0.0191287269693228	0.74383891058654	0.0545535	6.335356e-02	9.590742e-01	14
ENSG00000057608	GDI2	CD4_Memory_uns_0h	Memory	0h	痣数目通路	FAM208B;GDI2	0.9247811902256	0.0173120370624226	0.101305394637716	0.0905251853548146	0.528098255458857	-0.0781981	2.512589e-02	4.316415e-01	20
ENSG00000149485	FADS1	CD4_Memory_uns_0h	Memory	0h	色素/发色通路	AHNAK	1.07514835558453	0.00661706218400664	0.302079035130813	0.00845758749159096	0.972764605281758	0.0724587	1.078520e-02	7.039317e-04	20
ENSG00000173457	PPP1R14B	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.954429563516614	0.0374005552068346	0.0872808963516279	0.0294242205694072	0.74787548870444	-0.0449392	5.189317e-02	7.388378e-01	20
ENSG00000256940	PPP1R14B-AS1	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.949768579828459	0.0374104669377894	0.088142365887502	0.0294243900853779	0.749721850859222	-0.0514796	4.660606e-02	7.138535e-01	20
ENSG00000109861	CTSC	CD4_Memory_uns_0h	Memory	0h	色素/发色通路	TYR	0.86763692678436	0.00212666824543283	0.470959160316795	0.455576616076155	0.508301106461601	-0.141982	6.720262e-03	2.144810e-02	16
ENSG00000111671	SPSB2	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.952506555086562	0.014600431658258	0.158025362779893	0.0320545233106311	0.831362886574093	-0.0499092	1.673428e-02	2.540392e-01	12
ENSG00000260349		CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.07799195354562	0.0032938977353024	0.314115484445513	0.0334484911009053	0.903763066789877	0.0621021	2.229791e-02	7.085788e-01	9
ENSG00000176476	SGF29	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.949556285457154	0.0256008620187093	0.133774829090566	0.0573873985936774	0.699797395704823	-0.0568797	2.252226e-02	2.999731e-01	20
ENSG00000178952	TUFM	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.03742019976528	0.0356371383409963	0.0417189784655452	0.472087014256354	0.081195974855291	0.0363068	4.200634e-02	2.383956e-03	20
ENSG00000125148	MT2A	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.925503268513956	0.00456466349211917	0.217535466463008	0.124500071361858	0.636002527241463	-0.0774176	1.156753e-02	7.423608e-01	7
ENSG00000187193	MT1X	CD4_Memory_uns_0h	Memory	0h	潜在新位点		1.05996314483427	0.00445379182451536	0.291315237793842	0.166737888817982	0.63598569875218	0.0611695	8.306847e-03	3.353437e-01	20
ENSG00000170291	ELP5	CD4_Memory_uns_0h	Memory	0h	痣数目通路	TP53	0.933724616703584	0.00148126934014282	0.549588391091707	0.0183307433836013	0.967722969220721	-0.0683223	3.758635e-03	5.340277e-01	8
ENSG00000141504	SAT2	CD4_Memory_uns_0h	Memory	0h	痣数目通路	TP53	0.941061588397383	0.0253677333328779	0.0633617559354348	0.266752049762094	0.191939127785194	-0.0607467	3.600780e-02	4.741339e-01	14
ENSG00000120071	KANSL1	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.853459960352134	0.000506980834887434	0.430087639683264	0.496518707286298	0.464153565416266	-0.158457	2.026725e-03	NA	NA
ENSG00000178607	ERN1	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.931745948839161	0.0468340285242841	0.0692017102059251	0.00436314671080729	0.940689795458368	-0.0704227	6.186545e-02	NA	NA
ENSG00000141560	FN3KRP	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.964386575928986	0.043307550095123	0.0679991799701109	0.0449964118186326	0.601786130712446	-0.035505	5.043865e-02	8.706841e-01	20
ENSG00000099817	POLR2E	CD4_Memory_uns_0h	Memory	0h	潜在新位点		0.910765431725684	0.00477910664924047	0.364497380141911	0.00957564007963736	0.974401682126217	-0.0942252	1.061198e-02	1.658220e-01	5
ENSG00000164008	C1orf50	CD4_Naive_stim_16h	Naive	16h	潜在新位点		1.0587253741987	0.00895468054217619	0.180242516594029	0.118360656032542	0.60361889329099	0.0570657	1.407045e-02	9.119878e-01	20
