list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
colorectal	1678	261	34	9	1.7	0.0689316414017695	melanoma x eQTLGen_blood	known_kb	250	unrelated control
prostate	1678	379	34	21	2.73	8.01619531577463e-07	melanoma x eQTLGen_blood	known_kb	250	unrelated control
breast	1678	266	34	16	2.97	1.5254688306813e-05	melanoma x eQTLGen_blood	known_kb	250	unrelated control
lung	1678	91	34	6	3.25	0.00845551745434108	melanoma x eQTLGen_blood	known_kb	250	unrelated control
RA	1678	85	34	4	2.32	0.0893852295903773	melanoma x eQTLGen_blood	known_kb	250	unrelated control
melanoma	3976	370	38	26	7.35	6.43352579155664e-19	melanoma x eQTLGen_blood	locus_kb	250	own outcome
HCC	3976	194	38	3	1.62	0.282596738257959	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
colorectal	3976	1068	38	14	1.37	0.114830376800506	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
prostate	3976	1415	38	23	1.7	0.00143357956911215	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
breast	3976	1043	38	25	2.51	3.21720989271392e-07	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
lung	3976	329	38	8	2.54	0.0109069264679699	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
RA	3976	348	38	5	1.5	0.235527009632614	melanoma x eQTLGen_blood	locus_kb	250	unrelated control
melanoma	1678	128	34	21	8.1	2.74664114823435e-16	melanoma x eQTLGen_blood	known_kb	500	own outcome
HCC	1678	58	34	3	2.55	0.110151807259835	melanoma x eQTLGen_blood	known_kb	500	unrelated control
colorectal	1678	359	34	10	1.37	0.171955336282407	melanoma x eQTLGen_blood	known_kb	500	unrelated control
prostate	1678	480	34	23	2.36	2.09223312448774e-06	melanoma x eQTLGen_blood	known_kb	500	unrelated control
breast	1678	358	34	19	2.62	8.90794673348135e-06	melanoma x eQTLGen_blood	known_kb	500	unrelated control
lung	1678	118	34	7	2.93	0.00776658358443182	melanoma x eQTLGen_blood	known_kb	500	unrelated control
RA	1678	110	34	6	2.69	0.0205608545497932	melanoma x eQTLGen_blood	known_kb	500	unrelated control
melanoma	2643	253	36	25	7.25	2.52943430936062e-18	melanoma x eQTLGen_blood	locus_kb	500	own outcome
HCC	2643	136	36	3	1.62	0.281946290589158	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
colorectal	2643	744	36	13	1.28	0.187001028720905	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
prostate	2643	965	36	25	1.9	5.44727477435853e-05	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
breast	2643	712	36	22	2.27	1.52885024608909e-05	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
lung	2643	230	36	8	2.55	0.0103108817866687	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
RA	2643	239	36	6	1.84	0.100481731550736	melanoma x eQTLGen_blood	locus_kb	500	unrelated control
melanoma	1678	180	34	23	6.31	1.34733811096808e-15	melanoma x eQTLGen_blood	known_kb	1000	own outcome
HCC	1678	93	34	3	1.59	0.290590161170249	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
colorectal	1678	513	34	13	1.25	0.211774304694223	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
prostate	1678	640	34	24	1.85	0.000108738798779709	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
breast	1678	496	34	22	2.19	1.92421511593176e-05	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
lung	1678	155	34	7	2.23	0.0317967185901052	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
RA	1678	164	34	7	2.11	0.0416555910827965	melanoma x eQTLGen_blood	known_kb	1000	unrelated control
melanoma	1678	180	34	23	6.31	1.34733811096808e-15	melanoma x eQTLGen_blood	locus_kb	1000	own outcome
HCC	1678	93	34	3	1.59	0.290590161170249	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
colorectal	1678	513	34	13	1.25	0.211774304694223	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
prostate	1678	640	34	24	1.85	0.000108738798779709	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
breast	1678	496	34	22	2.19	1.92421511593176e-05	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
lung	1678	155	34	7	2.23	0.0317967185901052	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
RA	1678	164	34	7	2.11	0.0416555910827965	melanoma x eQTLGen_blood	locus_kb	1000	unrelated control
