direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Outgoing_CD4_to_partner	CALC	0	0	0	0	0
Outgoing_CD4_to_partner	CALCR	0	0	0	0	0
Outgoing_CD4_to_partner	CCL	-0.10166151813252	-0.0145230740189315	-0.000264055891253299	-0.128218215729203	-0.0265566975966829
Outgoing_CD4_to_partner	CD137	-0.00797705592768188	-0.00113957941824027	-0.00113957941824027	-0.00797705592768188	0
Outgoing_CD4_to_partner	CD160	0	0	0	0	0
Outgoing_CD4_to_partner	CD200	0	0	0	0	0
Outgoing_CD4_to_partner	CD23	0	0	0	0	0
Outgoing_CD4_to_partner	CD276	0	0	0	0	0
Outgoing_CD4_to_partner	CD30	0	0	0	0	0
Outgoing_CD4_to_partner	CD34	0	0	0	0	0
Outgoing_CD4_to_partner	CD39	-0.00263563404125362	-0.000376519148750517	-9.41297871876293e-05	-0.0013747308663251	0.00126090317492852
Outgoing_CD4_to_partner	CD40	0	0	0	0	0
Outgoing_CD4_to_partner	CD45	0.000334499597555271	4.77856567936102e-05	2.38928283968051e-05	0.000334499597555271	0
Outgoing_CD4_to_partner	CD46	0	0	0	0	0
Outgoing_CD4_to_partner	CD48	-4.53299833936809e-05	-6.47571191338299e-06	-6.47571191338299e-06	-4.53299833936809e-05	0
Outgoing_CD4_to_partner	CD6	-0.000666989490950968	-9.52842129929954e-05	-9.52842129929954e-05	-0.000666989490950968	0
Outgoing_CD4_to_partner	CD70	0	0	0	0	0
Outgoing_CD4_to_partner	CD80	0	0	0	0	0
Outgoing_CD4_to_partner	CD86	0	0	0	0	0
Outgoing_CD4_to_partner	CD96	0	0	0	0	0
Outgoing_CD4_to_partner	CD99	-0.00333763106436108	-0.000476804437765869	-0.000119201109441467	-0.00264619304339683	0.000691438020964247
Outgoing_CD4_to_partner	CDH	0	0	0	0	0
Outgoing_CD4_to_partner	CDH1	0	0	0	0	0
Outgoing_CD4_to_partner	CEACAM	0	0	0	0	0
Outgoing_CD4_to_partner	CHAD	0	0	0	0	0
Outgoing_CD4_to_partner	CHEMERIN	0	0	0	0	0
Outgoing_CD4_to_partner	CLDN	0	0	0	0	0
Outgoing_CD4_to_partner	CLEC	-0.00991808325180592	-0.00141686903597227	-0.000236144839328713	-0.0099180832518059	2.08166817117217e-17
Outgoing_CD4_to_partner	CNTN	0	0	0	0	0
