gene	profile	window	p12	nsnp	PP.H3	PP.H4	H3H4	ratio	pass
ZFYVE19	CD4_Naive_stim_5d	±250 kb	1e-06	380	0.0406041060535091	0.868069019185604	0.908673125239113	0.955314947778582	TRUE
ZFYVE19	CD4_Naive_stim_5d	±250 kb	5e-06	380	0.00907906966313336	0.970500260147069	0.979579329810202	0.990731664718882	TRUE
ZFYVE19	CD4_Naive_stim_5d	±250 kb	1e-05	380	0.00460749478026242	0.985029314408347	0.989636809188609	0.995344256865263	TRUE
ZFYVE19	CD4_Naive_stim_5d	±250 kb	5e-05	380	0.000932669112892613	0.996969568775212	0.997902237888104	0.999065370256242	TRUE
ZFYVE19	CD4_Naive_stim_5d	±500 kb	1e-06	442	0.0414257459690916	0.867262865387431	0.908688611356523	0.954411505271041	TRUE
ZFYVE19	CD4_Naive_stim_5d	±500 kb	5e-06	442	0.0092694716821915	0.970298588916554	0.979568060598746	0.990537184647971	TRUE
ZFYVE19	CD4_Naive_stim_5d	±500 kb	1e-05	442	0.00470460250762739	0.984925426404646	0.989630028912273	0.995246099683537	TRUE
ZFYVE19	CD4_Naive_stim_5d	±500 kb	5e-05	442	0.00095240619535309	0.99694828261022	0.997900688805573	0.999045590201473	TRUE
ZFYVE19	CD4_Naive_stim_5d	full cis	1e-06	442	0.0414257459690916	0.867262865387431	0.908688611356523	0.954411505271041	TRUE
ZFYVE19	CD4_Naive_stim_5d	full cis	5e-06	442	0.0092694716821915	0.970298588916554	0.979568060598746	0.990537184647971	TRUE
ZFYVE19	CD4_Naive_stim_5d	full cis	1e-05	442	0.00470460250762739	0.984925426404646	0.989630028912273	0.995246099683537	TRUE
ZFYVE19	CD4_Naive_stim_5d	full cis	5e-05	442	0.00095240619535309	0.99694828261022	0.997900688805573	0.999045590201473	TRUE
TPI1	CD4_Naive_stim_16h	±100 kb	1e-06	193	0.0834342885253611	0.0888094291772232	0.172243717702584	0.515603299567487	FALSE
TPI1	CD4_Naive_stim_16h	±100 kb	5e-06	193	0.0615643200426682	0.327652588480533	0.389216908523201	0.841825165622273	FALSE
TPI1	CD4_Naive_stim_16h	±100 kb	1e-05	193	0.0463708055682904	0.49358181699555	0.53995262256384	0.914120603122346	TRUE
TPI1	CD4_Naive_stim_16h	±100 kb	5e-05	193	0.0155903508223386	0.829736899346652	0.84532725016899	0.981557023248426	TRUE
TPI1	CD4_Naive_stim_16h	±250 kb	1e-06	463	0.0893385570914162	0.0882842647271242	0.17762282181854	0.497032215923895	FALSE
