section	patient	gene	compartment	n_spots	rho	p
mel2_rep1	mel2	TPI1	glycolysis	382	0.1714257566632559	0.0007669812928895549
mel2_rep1	mel2	TPI1	prolif	382	0.17727440754666254	0.0004994489758530948
mel2_rep1	mel2	SMC2	tumor	382	-0.017967655269888524	0.726299681603287
mel2_rep1	mel2	SMC2	lymphoid	382	0.03264619851029396	0.5246834740295969
mel2_rep1	mel2	SMC2	bcell	382	0.07529493970682316	0.14186287676875653
mel2_rep1	mel2	SMC2	myeloid	382	0.037202604297771225	0.4684604239368299
mel2_rep1	mel2	SMC2	stroma	382	-0.02541905471537394	0.6204146642340113
mel2_rep1	mel2	SMC2	glycolysis	382	-0.041012649419165645	0.4241198029969181
mel2_rep1	mel2	SMC2	prolif	382	0.08668762402024545	0.09065973986984176
mel2_rep1	mel2	ZFYVE19	tumor	382	-0.02712812792516638	0.5971009568399754
mel2_rep1	mel2	ZFYVE19	lymphoid	382	0.041731163593179146	0.4160406461344853
mel2_rep1	mel2	ZFYVE19	bcell	382	0.014171027524083965	0.7824894124140341
mel2_rep1	mel2	ZFYVE19	myeloid	382	0.10046926740863862	0.04974084856812367
mel2_rep1	mel2	ZFYVE19	stroma	382	0.06968355102715311	0.1741016787038798
mel2_rep1	mel2	ZFYVE19	glycolysis	382	0.03571452532933156	0.4864485869498602
mel2_rep1	mel2	ZFYVE19	prolif	382	0.06767831958335802	0.18685523162277692
mel2_rep1	mel2	SPSB2	tumor	382	0.09577396595542438	0.061476703284516605
mel2_rep1	mel2	SPSB2	lymphoid	382	-0.022049825884421056	0.6674867950279534
mel2_rep1	mel2	SPSB2	bcell	382	-0.017082614052723502	0.7392801766729921
mel2_rep1	mel2	SPSB2	myeloid	382	0.023685522005616966	0.6444564827880597
mel2_rep1	mel2	SPSB2	stroma	382	0.10976887588851622	0.03196345919999461
mel2_rep1	mel2	SPSB2	glycolysis	382	0.07621686804511099	0.13703417759270667
mel2_rep1	mel2	SPSB2	prolif	382	0.05658351305565282	0.269951467518541
mel2_rep1	mel2	HLA-C	tumor	382	-1.2164748224875034e-05	0.9998109184034338
mel2_rep1	mel2	HLA-C	lymphoid	382	0.3116287894783126	4.770021349724335e-10
mel2_rep1	mel2	HLA-C	bcell	382	-0.021454452815633452	0.6759490624950594
mel2_rep1	mel2	HLA-C	myeloid	382	0.3945417532028963	1.116075713455735e-15
mel2_rep1	mel2	HLA-C	stroma	382	0.13609511620759338	0.00772999300029961
mel2_rep1	mel2	HLA-C	glycolysis	382	0.2047275159486652	5.553404549373493e-05
mel2_rep1	mel2	HLA-C	prolif	382	0.09096770149580484	0.07576520016796157
mel2_rep1	mel2	KIAA0040	tumor	382	0.016825937764846297	0.7430588028711983
mel2_rep1	mel2	KIAA0040	lymphoid	382	0.11803264392474967	0.021030421298315696
mel2_rep1	mel2	KIAA0040	bcell	382	-0.014692761343858633	0.7746929839276425
mel2_rep1	mel2	KIAA0040	myeloid	382	0.09807493719247183	0.05546769916444024
mel2_rep1	mel2	KIAA0040	stroma	382	0.06013104853177193	0.24101234261069357
mel2_rep1	mel2	KIAA0040	glycolysis	382	0.10204416718393192	0.046250026125592716
mel2_rep1	mel2	KIAA0040	prolif	382	0.08332282413816408	0.1039451411263546
mel2_rep2	mel2	TPI1	tumor	375	0.1673504589048579	0.0011424259664599404
mel2_rep2	mel2	TPI1	lymphoid	375	-0.21112307625629745	3.7677577300475516e-05
mel2_rep2	mel2	TPI1	bcell	375	-0.203342514429593	7.306513018230849e-05
mel2_rep2	mel2	TPI1	myeloid	375	-0.14739665859341886	0.0042306110653298305
mel2_rep2	mel2	TPI1	stroma	375	-0.12252524493553853	0.01760988974019188
mel2_rep2	mel2	TPI1	glycolysis	375	0.08382635193553509	0.1050766974983308
mel2_rep2	mel2	TPI1	prolif	375	0.08799706627743765	0.08881736673150788
mel2_rep2	mel2	SMC2	tumor	375	-0.016269816123803977	0.7534962824837436
mel2_rep2	mel2	SMC2	lymphoid	375	-0.05229024535783653	0.312539953152246
mel2_rep2	mel2	SMC2	bcell	375	-0.004876709224457342	0.9250119636354184
mel2_rep2	mel2	SMC2	myeloid	375	0.00013820716049000591	0.9978716971477729
mel2_rep2	mel2	SMC2	stroma	375	0.08516463009820334	0.09962115411491028
mel2_rep2	mel2	SMC2	glycolysis	375	-0.018628474072970986	0.7191719064196601
mel2_rep2	mel2	SMC2	prolif	375	0.0433829046218517	0.4022013862696889
mel2_rep2	mel2	ZFYVE19	tumor	375	-0.028010337042926894	0.5887053401333554
mel2_rep2	mel2	ZFYVE19	lymphoid	375	0.09409546477477172	0.06874258836911136
mel2_rep2	mel2	ZFYVE19	bcell	375	0.07120466374150343	0.16881662118910484
