gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent
SNRPF	0.2536407659128881	0.5896675377569089	0.37233175313110595	0.4904573721492936	0.4265243572375491	4	True
EIF3G	0.14818728479552942	0.5748640007341738	0.40977573221737196	0.567254611687846	0.42502040735873026	4	True
FOSL2	0.4014612413517723	0.5009660238494046	0.25773124794568175	0.5380167112139166	0.4245438060901938	4	True
MDH2	0.2646354039622228	0.6102719279077881	0.4259770807316736	0.39709118841123014	0.42449390025322864	4	True
C4orf48	0.11416068610831405	0.6659917878928312	0.4092053736553616	0.5077525518911711	0.4242775998869195	4	True
PSMC5	0.17390247530967015	0.5238074128909282	0.4484929340743692	0.549250144249677	0.4238632416311612	4	True
MRPS23	0.20951329933782226	0.623855211416353	0.2586616983761623	0.6032943378803367	0.4238311367526686	4	True
TIMM10	0.06415414798017875	0.6177300972175579	0.5110489908480631	0.5010218364579131	0.4234887681259282	4	True
PDCL3	0.27789694608127813	0.4525237467946456	0.4784771597199236	0.48203787798525993	0.4227339326452768	4	True
RPL36	0.19952683164635313	0.5899037597851549	0.36664989424375183	0.534307158673301	0.4225969110871402	4	True
CBR1	0.13333593570122973	0.623034685033055	0.35193507745008895	0.5819645357448171	0.4225675584822977	4	True
PSMB5	0.1924204099711983	0.6193692544247376	0.49424991675657776	0.3835350752465813	0.42239366409977375	4	True
PDAP1	0.2607511989902278	0.5193562955976709	0.3859328392665619	0.5212247661521757	0.4218162750016591	4	True
LAMTOR2	0.20180723843295598	0.4673097562127112	0.5795427664882234	0.4376424177643122	0.42157554472455067	4	True
RPS4X	0.20781323275902272	0.5017486056572482	0.3644545001309855	0.6090895587856495	0.4207764743332265	4	True
SAP18	0.255681115253136	0.5116064906646359	0.41120424034963876	0.5037501617512579	0.42056050200466716	4	True
FARSA	0.16050116389647612	0.5639812500459053	0.40927156869957226	0.5474519921118681	0.42030149368845543	4	True
CYC1	0.11551475610254919	0.5898000163705645	0.48777230853740616	0.4876294612845399	0.42017913557376496	4	True
MRPS17	0.22995973636708347	0.7043023741327968	0.29051151724600166	0.45561856582230653	0.4200980483920471	4	True
RPL18A	0.20982393721101028	0.5455334306732919	0.3634128409208128	0.5606190461933734	0.41984731374962214	4	True
TSR1	0.22388118815367286	0.5354071649123253	0.346396596855548	0.5732087957422443	0.4197234364159476	4	True
PSMB10	0.169112129010255	0.48251931573888857	0.4036939618451606	0.6225253553287379	0.41946269048076057	4	True
MRPS7	0.18665309268629218	0.5851494640947631	0.36482907491971595	0.5403114399837395	0.4192357679211277	4	True
VDAC1	0.305636239461568	0.4882597072003084	0.37214933096354563	0.5097047131053389	0.4189374976826903	4	True
