source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Tprolif	CD4_Glyco_hi	MIF	CD74_CD44	0.254896238323973	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	CD4_Glyco_lo	MIF	CD74_CD44	0.265170459405358	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Tprolif	CD4_Glyco_lo	MIF	CD74_CD44	0.250927056007887	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
MonoMacro	CD8T	MIF	CD74_CD44	0.252159137142469	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	CD8T	MIF	CD74_CD44	0.271706669210448	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Tprolif	CD8T	MIF	CD74_CD44	0.257235080708544	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
CD4_Glyco_hi	MonoMacro	MIF	CD74_CD44	0.273036877793757	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
CD4_Glyco_lo	MonoMacro	MIF	CD74_CD44	0.262429194678101	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
CD8T	MonoMacro	MIF	CD74_CD44	0.259211121450535	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
MonoMacro	MonoMacro	MIF	CD74_CD44	0.277715369983235	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
pDC	MonoMacro	MIF	CD74_CD44	0.261132959768556	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	MonoMacro	MIF	CD74_CD44	0.298453392262257	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Tprolif	MonoMacro	MIF	CD74_CD44	0.283111004465401	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
MonoMacro	Tprolif	MIF	CD74_CD44	0.249525448179699	0.01	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	Tprolif	MIF	CD74_CD44	0.268942237951968	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Tprolif	Tprolif	MIF	CD74_CD44	0.254566422523007	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
B	CD4_Glyco_hi	IL16	CD4	0.0456555904706983	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD4_Glyco_hi	IL16	CD4	0.0197341790947477	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD4_Glyco_hi	IL16	CD4	0.0232910434393644	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_hi	IL16	CD4	0.0200868009504616	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD4_Glyco_hi	IL16	CD4	0.0173579613645908	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_hi	IL16	CD4	0.0159665067469513	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
pDC	CD4_Glyco_hi	IL16	CD4	0.0567064491893449	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
Plasma	CD4_Glyco_hi	IL16	CD4	0.0361194907599737	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_hi	IL16	CD4	0.0211642496856347	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
B	MonoMacro	IL16	CD4	0.132754449243031	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	MonoMacro	IL16	CD4	0.0605176434291768	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	MonoMacro	IL16	CD4	0.0708936562547754	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
CD8T	MonoMacro	IL16	CD4	0.0615532485692271	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
MonoMacro	MonoMacro	IL16	CD4	0.0534986461413633	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
NK	MonoMacro	IL16	CD4	0.0493555850124849	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
pDC	MonoMacro	IL16	CD4	0.161323687427757	0	IL16_CD4	IL16 - CD4	IL16	Secreted Signaling	KEGG: hsa04060
