cell	cell_group
F4_P1_M39	CD8T
F4_P2_M39	CD8T
F4_P3_M39	CD8T
F5_P2_M39	CD8T
F6_P1_M39	CD8T
F6_P3_M39	Plasma
F6_P4_M39	NK
F7_P1_M39	CD8T
F7_P2_M39	Tprolif
F7_P4_M39	Tprolif
F8_P2_M39	CD8T
F9_P1_M39	CD4_Glyco_lo
G10_P3_M39	CD8T
G10_P4_M39	CD8T
G11_P1_M39	Tprolif
G11_P2_M39	Tprolif
G11_P4_M39	CD8T
G12_P1_M39	Tprolif
G12_P3_M39	Tprolif
G1_P2_M39	Tprolif
G1_P3_M39	CD8T
G3_P1_M39	CD8T
G3_P2_M39	B
G3_P3_M39	CD4_Glyco_lo
G3_P4_M39	Plasma
G4_P1_M39	CD4_Glyco_hi
G4_P2_M39	Tprolif
G4_P3_M39	Tprolif
G5_P1_M39	CD8T
G5_P2_M39	CD8T
G5_P4_M39	B
G6_P1_M39	Tprolif
G6_P2_M39	Tprolif
G7_P1_M39	CD8T
G7_P2_M39	Tprolif
G7_P3_M39	CD8T
G8_P3_M39	CD4_Glyco_lo
G9_P1_M39	NK
G9_P2_M39	Tprolif
G9_P4_M39	CD8T
H10_P1_M39	Tprolif
H11_P2_M39	CD8T
H11_P4_M39	CD8T
H12_P1_M39	Tprolif
H12_P2_M39	CD8T
H12_P4_M39	CD4_Glyco_hi
H1_P3_M39	CD8T
H1_P4_M39	Tprolif
H2_P2_M39	CD4_Glyco_hi
H2_P4_M39	NK
H3_P1_M39	CD8T
H3_P2_M39	Tprolif
H3_P3_M39	Tprolif
H3_P4_M39	CD8T
H4_P1_M39	MonoMacro
H4_P2_M39	CD8T
H4_P3_M39	CD8T
H4_P4_M39	CD8T
H5_P2_M39	Tprolif
H5_P3_M39	CD8T
H5_P4_M39	CD4_Glyco_lo
H6_P1_M39	CD4_Glyco_hi
H6_P2_M39	Tprolif
H6_P4_M39	CD8T
H7_P1_M39	CD4_Glyco_lo
H7_P2_M39	Tprolif
H7_P3_M39	CD4_Glyco_lo
H8_P1_M39	CD4_Glyco_lo
H8_P2_M39	CD8T
H9_P4_M39	CD4_Glyco_hi
A10_P3_M23	CD8T
A11_P1_M23	NK
A11_P2_M23	CD8T
A11_P3_M23	MonoMacro
A11_P4_M23	CD8T
A12_P1_M23	CD8T
A12_P3_M23	MonoMacro
A12_P4_M23	CD8T
A2_P2_M23	NK
A2_P3_M23	CD4_Glyco_hi
A3_P1_M23	MonoMacro
A3_P2_M23	Tprolif
A4_P1_M23	CD8T
A4_P2_M23	CD8T
A4_P3_M23	Tprolif
A4_P4_M23	NK
A5_P1_M23	CD8T
A5_P2_M23	CD8T
A6_P1_M23	CD8T
A6_P3_M23	CD8T
A6_P4_M23	NK
A7_P3_M23	CD8T
A7_P4_M23	Tprolif
A8_P1_M23	CD8T
A8_P3_M23	CD4_Glyco_hi
A9_P1_M23	MonoMacro
A9_P3_M23	CD8T
A9_P4_M23	CD8T
B10_P1_M23	CD8T
B10_P2_M23	CD8T
B10_P3_M23	CD4_Glyco_lo
B10_P4_M23	CD4_Glyco_hi
B11_P4_M23	CD8T
B12_P1_M23	CD8T
B12_P3_M23	CD8T
B1_P1_M23	NK
B1_P3_M23	MonoMacro
B1_P4_M23	Tprolif
B2_P2_M23	CD8T
B2_P4_M23	MonoMacro
B3_P1_M23	NK
B3_P4_M23	CD8T
B4_P1_M23	CD4_Glyco_lo
B4_P2_M23	CD8T
B4_P3_M23	Tprolif
B4_P4_M23	CD4_Glyco_hi
B5_P1_M23	CD8T
B5_P2_M23	CD8T
B5_P3_M23	CD4_Glyco_hi
B5_P4_M23	Tprolif
B6_P1_M23	MonoMacro
B6_P2_M23	CD8T
B6_P3_M23	CD8T
B7_P4_M23	CD8T
