sample	patient	timepoint	n_CD4	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
Post_P19_myeloid_enriched	P19_myeloid_enriched	Post	7	0.861475801753301	0.828289922764226	1.42615382044263	5.416039206652	6.37104622038541	0.804720493073502	0.830022516872146	0.882164196558856
Post_P1_2	P1	Post	103	0.525052126874239	0.494528588274036	0.162567949003366	4.43358454368769	6.4320182498369	0.547817409320906	0.405881420474971	3.42398403358623
Post_P2	P2	Post	107	0.630734715275952	0.541145071493247	0.752291936511072	5.07704400356879	6.41428525128976	1.37445338701842	0.767295548169307	3.81405672996562
Post_P20	P20	Post	76	0.391073125325031	0.1460897573977	0.315166523660388	4.60619486735615	6.59452731012028	0.775206713121029	0.558987379106486	2.70470203262068
Post_P21	P21	Post	74	0.141053824033052	0.146524005162363	0.358029881532726	2.48534426342561	6.75782310668639	0.915975845846088	0.105209357358129	0.835398672424844
Post_P22	P22	Post	41	0.353278218462187	0.579382523366567	0.306908120969894	3.72025025017239	6.59253821507604	0.748121115072308	0.720394510956469	1.25044093537043
Post_P23	P23	Post	100	0.423803063763319	0.778157947205734	0.570636005410814	5.0569098723272	6.41005691660857	1.62665733520225	0.731055888366725	3.81764916693164
Post_P23_2	P23	Post	121	0.690597030895264	1.27046738347216	0.429674470514741	4.62469605392075	6.45215651687637	1.55319530418778	0.910591592867037	3.05748578012677
Post_P28	P28	Post	12	2.2227017639003	1.22432686150185	2.3966840931318	5.39906350838227	5.91988459121621	2.33981045236308	1.08827124969042	1.60477214703869
Post_P28_2	P28	Post	99	0.565872061442795	0.429979081142859	0.484011750337587	4.81204721713726	6.47481640051969	1.37605099855603	0.380891940310305	2.69592210677347
Post_P2_T_enriched	P2_T_enriched	Post	17	1.97660099602494	1.02292920415852	1.3513076624794	3.92330238867398	6.31719668899238	0.337297396166136	0.497061922378673	2.21156232849501
Post_P3	P3	Post	81	0.679354414349067	0.366005393440572	0.514574314490958	3.44652028304616	6.5285760947311	1.14488284625059	0.379887574142788	2.1719195642074
Post_P30	P30	Post	104	0.781410485671538	0.992497605931314	0.270857350699855	5.01755041054251	6.50761981036862	0.827732395860605	0.891695615748259	3.18287790415415
Post_P3_2	P3	Post	74	0.339085277929927	0.5485893406654	0.262085710569937	3.40015298079548	6.66782631769304	0.395894839567522	0.635005112678218	1.50829177359968
Post_P4	P4	Post	74	0.67387467592454	0.297530500371553	0.253286958884043	3.06318873402556	6.51121411245406	0.475513846580788	0.380850096965265	1.52067686628757
Post_P4_T_enriched	P4_T_enriched	Post	53	0.813806576926499	0.818770171555086	0.325832724041983	3.10258615470976	6.34332712516413	0.534552620813375	0.660332617515565	2.5867811713048
Post_P5	P5	Post	76	0.851535484938289	0.623305229732106	0.542878845798433	5.29240106529613	6.65628915746431	1.09845673251092	0.83127585233751	3.05633605294754
Post_P5_2	P5	Post	99	0.502305010336445	0.130973662046665	0.129503842661687	3.10305203910798	6.74994380194984	0.87098346571896	0.128224522552921	2.98761796019193
