gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
ATP5MC3	0.24401718609282871	0.7455084492517223	0.4469834934910956	0.6345022258462195	0.5177528386704665	4	True	0.22998664063302846
CHCHD10	0.18645928701734749	0.904272830273786	0.47982930449971545	0.500054192534038	0.5176539035812218	4	True	0.12321446922207378
NCL	0.27721003348249323	0.6655788153108468	0.4576260567610014	0.6660982488360291	0.5166282885975926	4	True	0.7004418867536738
MRTO4	0.1920609306560573	0.7426750689555993	0.4824086916422286	0.648464786637052	0.5164023694727343	4	True	0.2150858082417018
MCM4	0.2250220309377793	0.9486672499663634	0.3102119300750475	0.5749053023761128	0.5147016283388257	4	True	0.09587914911108827
SLC29A1	0.10188099882351302	0.9966631543883416	0.36440616632103706	0.5955203529765304	0.5146176681273555	4	True	0.07779262151885726
RPL7	0.28479950822756483	0.7017184500782097	0.4328177327997356	0.6329032800422799	0.5130597427869475	4	True	0.6710512794162984
ARPC4	0.16840181799092074	0.7180636330154733	0.505962766218351	0.6579287046180103	0.5125892304606888	4	True	0.09201578372932584
POLR2H	0.28300800271262866	0.7608254043989257	0.4039234264364379	0.6010385756013836	0.512198852287344	4	True	0.13592477541768114
MRPS34	0.28040323865675865	0.7113598172354646	0.48434314429758746	0.5689225483721143	0.5112571871404812	4	True	0.16000411057445277
PPIF	0.28811045258876616	0.5761159085526837	0.47217833800263836	0.7076866594658033	0.5110228396524729	4	True	0.09016875157417513
HSPD1	0.25080127632390686	0.728938350746795	0.4516474085205777	0.6114704048726245	0.510714360115976	4	True	0.6244990237385675
BNIP3	0.7807844471051644	0.5367846831411642	0.26122212744038326	0.4620572283684291	0.5102121215137853	4	True	0.10536478885064227
PSMB4	0.17652882081324903	0.7284534008166111	0.48283306831709977	0.652167673963065	0.5099957409775062	4	True	0.22752077911174545
CFL1	0.23828295681708966	0.5839136399610048	0.4876100642022963	0.7270088954636728	0.5092038891110159	4	True	0.3626899504659558
GPN3	0.38373848996960674	0.6915826251767816	0.4763186729223543	0.4804301531241976	0.5080174852982351	4	True	0.0954680916658103
ATP5F1D	0.2641800668934231	0.7357001275051197	0.3898798701186067	0.6387452452932215	0.5071263274525928	4	True	0.183024095374024
DDX39A	0.19099630932473102	0.6362454028354394	0.5733735828448948	0.6268399477576849	0.5068638106906875	4	True	0.21323604973795088
ATP5F1B	0.3423348760276621	0.6403743244508463	0.4491759473261027	0.5954738455034745	0.5068397483270214	4	True	0.2767189992443959
IER3	0.07606285801976441	0.8784727238174718	0.4481372374446597	0.6245978729667233	0.5068176730621549	4	True	0.2748946665296475
MRPL11	0.19897043847388404	0.7859316839178183	0.48038528114032486	0.5586371032799222	0.5059811267029874	4	True	0.06708084963479137
ADRM1	0.18358920705251508	0.6687574990230841	0.5677652903960687	0.6028227757540993	0.5057336930564418	4	True	0.1151876416757619
NDUFAF3	0.232533900076383	0.6168902365848206	0.4568896597075988	0.7120896045300584	0.5046008502247152	4	True	0.08101754680547393
TRIM28	0.282825166627304	0.6434120697568723	0.41841239475541875	0.6686495492480063	0.5033247950969003	4	True	0.16346234573083704
TOMM22	0.27280135080783285	0.7549121728213873	0.3971992283093929	0.587096267064795	0.503002254750852	4	True	0.13626059944589036
RPL14	0.2840955062822971	0.6612206066458552	0.4584229325294685	0.6068003648696414	0.5026348525818156	4	True	0.6858493474463057
RPS15	0.24386906159572946	0.6909906619506533	0.4058389160448446	0.6660553605023307	0.5016885000233895	4	True	0.7008529441989518
FAU	0.23544947234521155	0.625042930695311	0.42672550272812587	0.7188291264666675	0.501511758058829	4	True	0.6386805056006577
YBX1	0.2202793791445574	0.6588576816234379	0.506901776421408	0.6193984724756438	0.5013593274162618	4	True	0.5892508478059809
MRPL23	0.23226711235143135	0.6337313689280158	0.472868358679843	0.6654691926167182	0.5010840081440021	4	True	0.09638149609604567
SEMA7A	0.17095235274501422	0.7465877376305047	0.43397897023400206	0.6516996721179993	0.50080468318188	4	True	0.05062547225253967
