spot	x	y	total_counts	n_genes	log_total	tumor	lymphoid	bcell	myeloid	stroma	glycolysis	prolif	TPI1	SMC2	ZFYVE19	SPSB2	HLA-C	KIAA0040	section	patient
16x6	16.0	6.0	4264	2197	3.6298171960185157	0.26832938254020894	-0.21294472058868794	-0.16663620878676436	-0.10228846290392023	-0.19383126936735717	-0.13009377630567964	0.653669406357574	2.857418625234088	0.0	0.0	0.0	2.0838875534495265	0.0	mel4_rep1	mel4
16x7	16.0	7.0	6027	2747	3.7801011914679115	0.39522364805070104	0.4675556434455587	-0.16663620878676436	-0.287229058883194	0.5307109795098454	-0.3356718093113931	0.004905352326704149	2.032978806318324	0.0	0.0	0.0	2.6584118259678893	0.0	mel4_rep1	mel4
16x8	16.0	8.0	4537	2353	3.6567687792660166	-0.08933993321091255	0.0094566131690203	-0.16663620878676436	-0.7278551973988466	0.03981752769045114	-0.1801849533013421	0.46621148574619176	1.164431122762361	0.0	0.0	0.0	2.284054303692583	0.0	mel4_rep1	mel4
16x9	16.0	9.0	4821	2478	3.683137131483007	-0.6671346105643549	0.6723969969429646	-0.16663620878676436	0.06542832324006444	0.24787006590258784	0.00011710583659475426	-0.4377002747652098	1.97723927763111	0.0	1.1230637185512928	0.0	2.867561778225709	1.1230637185512928	mel4_rep1	mel4
16x10	16.0	10.0	3637	2016	3.560743301054712	-0.4109995844693214	-0.21294472058868794	-0.16663620878676436	-0.03150012950744162	0.49546943432441476	-0.16203017802490713	0.04659490004849944	1.8716541149268089	0.0	0.0	0.0	2.224467485575006	0.0	mel4_rep1	mel4
16x11	16.0	11.0	4496	2355	3.652826302561005	-0.261167745373467	-0.21294472058868794	-0.16663620878676436	0.05096841407915325	0.4817495454439087	-0.08636315230672614	1.056548543475952	1.695321726323938	0.0	0.0	0.0	3.045369392970122	0.0	mel4_rep1	mel4
16x12	16.0	12.0	4497	2326	3.652922887567942	-0.7354681861510788	0.002610451884492294	-0.16663620878676436	0.36057743880689547	0.6780837533580257	-0.1407019966908745	-0.06864646652008563	2.037461855946067	0.0	0.0	0.0	2.66320820330355	0.0	mel4_rep1	mel4
16x13	16.0	13.0	3165	1849	3.500373714353374	0.13704810516034793	0.5843605094099132	1.2113232536511938	-0.45105775198840453	-0.20179945175251046	-0.19616118211876746	-0.4377002747652098	2.3493420473813797	0.0	0.0	0.0	2.3493420473813797	1.4254087373521331	mel4_rep1	mel4
17x3	17.0	3.0	9790	3415	3.9907826918031377	0.4094369073214853	-0.21294472058868794	-0.16663620878676436	-0.0719238667868948	-0.5085332715655698	0.43433089420983867	0.5087715352267551	2.5845563031572487	0.0	0.0	0.0	2.8532009227855015	0.0	mel4_rep1	mel4
17x4	17.0	4.0	4957	2474	3.6952189189051508	0.09036815528212225	-0.07403642104402813	2.0339715356716295	0.19542583825511728	0.8768795007874578	0.2892291216270881	-0.4377002747652098	2.204905758342074	0.0	0.0	0.0	2.84134452709729	0.0	mel4_rep1	mel4
17x5	17.0	5.0	5763	2717	3.760648619581356	-0.06275376560305748	-0.21294472058868794	-0.16663620878676436	0.16888127976760692	0.15721401838400104	-0.060716473052739944	0.22507171151295008	2.700129505599413	0.0	0.0	0.0	2.909742569358488	0.0	mel4_rep1	mel4
17x6	17.0	6.0	4094	2183	3.6121478383264867	0.5680357809944014	-0.057452635086642855	1.5164422839525822	0.4641676762568112	-0.2232749332424592	-0.10256883977480724	-0.4377002747652098	1.7724403596055631	0.0	0.0	0.0	1.7724403596055631	0.0	mel4_rep1	mel4
17x7	17.0	7.0	4042	2124	3.606596309179285	-0.12396122618887362	-0.21294472058868794	1.0372227894773658	0.3708195226663569	0.16350396612261983	-0.04220233595002305	-0.1665795740575036	2.388404105102571	0.0	1.2453132196136278	0.0	2.5930219030482315	0.0	mel4_rep1	mel4
17x8	17.0	8.0	2657	1507	3.4243915544102776	-0.1986905892498458	-0.21294472058868794	-0.16663620878676436	0.14659276864544862	0.27691924794226425	-0.3953752292703046	-0.4377002747652098	2.7759937203046707	0.0	0.0	0.0	2.5088615610649594	0.0	mel4_rep1	mel4
17x9	17.0	9.0	3918	2102	3.5930644316587177	-0.4144260840445093	0.029161739323952413	-0.16663620878676436	0.04129058886039895	0.48968304617110586	-0.16596920543378715	-0.4377002747652098	1.8090499940242668	0.0	0.0	0.0	2.7920196923347667	1.2676016469003093	mel4_rep1	mel4
17x10	17.0	10.0	3436	1851	3.5360531551592045	-0.06864466108911096	-0.041427940545450036	-0.16663620878676436	0.542501380880719	0.7129417536835346	0.15789251969550147	-0.4377002747652098	2.275325159714901	0.0	0.0	0.0	2.536980586232645	0.0	mel4_rep1	mel4
17x11	17.0	11.0	4184	2313	3.621591675859218	-0.4281628054581004	0.2209800817662285	-0.16663620878676436	0.6806246143627687	0.3984588948415648	-0.26677021606769535	0.019603401092921226	2.100489971579102	0.0	1.220846842009285	0.0	2.3570950058362645	0.0	mel4_rep1	mel4
