direction	partner	pathway	interaction_name	ligand	receptor	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob	abs_delta	sig_hi	sig_lo	sig_either
Outgoing_CD4_to_partner	B	CCL	CCL3_CCR1	CCL3	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL3L1_CCR1	CCL3L1	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL3L3_CCR1	CCL3L3	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL8_CCR1	CCL8	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL7_CCR1	CCL7	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL13_CCR1	CCL13	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL14_CCR1	CCL14	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL15_CCR1	CCL15	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL16_CCR1	CCL16	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL23_CCR1	CCL23	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL8_CCR2	CCL8	CCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL7_CCR2	CCL7	CCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL2_CCR2	CCL2	CCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL27_CCR2	CCL27	CCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL5_CCR3	CCL5	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL7_CCR3	CCL7	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL11_CCR3	CCL11	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL24_CCR3	CCL24	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL26_CCR3	CCL26	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL28_CCR3	CCL28	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL27_CCR3	CCL27	CCR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL17_CCR4	CCL17	CCR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL22_CCR4	CCL22	CCR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL5_CCR4	CCL5	CCR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL4_CCR5	CCL4	CCR5	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL5_CCR5	CCL5	CCR5	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL3_CCR5	CCL3	CCR5	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL20_CCR6	CCL20	CCR6	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL19_CCR7	CCL19	CCR7	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL21_CCR7	CCL21	CCR7	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL19_ACKR4	CCL19	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL21_ACKR4	CCL21	ACKR4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL1_CCR8	CCL1	CCR8	0	0	1	1	0	0	FALSE	FALSE	FALSE
