direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR
Incoming_partner_to_CD4	CNTN	0	0	0
Incoming_partner_to_CD4	CSPG4	0	0	0
Incoming_partner_to_CD4	DESMOSOME	0	0	0
Incoming_partner_to_CD4	EPGN	0	0	0
Incoming_partner_to_CD4	EPHA	0	0	0
Incoming_partner_to_CD4	EPHB	0	0	0
Incoming_partner_to_CD4	ESAM	0	0	0
Incoming_partner_to_CD4	GP1BA	0	0	0
Incoming_partner_to_CD4	ICAM	-0.0478163539639479	-0.00683090770913541	-0.000853863463641926
Incoming_partner_to_CD4	ICOS	0.00525625908166846	0.000750894154524066	0.000250298051508022
Incoming_partner_to_CD4	JAM	-0.00158252611673211	-0.000226075159533159	-2.26075159533159e-05
Incoming_partner_to_CD4	L1CAM	0	0	0
Incoming_partner_to_CD4	LCK	-0.0261904616954415	-0.00374149452792021	-0.00374149452792021
Incoming_partner_to_CD4	MADCAM	0	0	0
Incoming_partner_to_CD4	MHC-II	1.07320380805815	0.153314829722592	0.012776235810216
Incoming_partner_to_CD4	MPZ	0	0	0
Incoming_partner_to_CD4	NCAM	0	0	0
Incoming_partner_to_CD4	NEGR	0	0	0
Incoming_partner_to_CD4	NGL	0	0	0
Incoming_partner_to_CD4	NOTCH	0	0	0
Incoming_partner_to_CD4	NRXN	0	0	0
Incoming_partner_to_CD4	PD-L1	0	0	0
Incoming_partner_to_CD4	PDL2	0	0	0
Incoming_partner_to_CD4	PTPRM	0	0	0
Incoming_partner_to_CD4	PVR	0	0	0
Incoming_partner_to_CD4	SELE	0	0	0
Incoming_partner_to_CD4	SELL	0	0	0
Incoming_partner_to_CD4	SELPLG	-0.0548882585310715	-0.00784117979015308	-0.00261372659671769
Incoming_partner_to_CD4	SEMA4	0	0	0
Incoming_partner_to_CD4	SEMA5	0	0	0
Incoming_partner_to_CD4	SEMA6	0	0	0
Incoming_partner_to_CD4	SEMA7	0	0	0
Incoming_partner_to_CD4	SN	0	0	0
Incoming_partner_to_CD4	THY1	0	0	0
Incoming_partner_to_CD4	VCAM	0	0	0
Incoming_partner_to_CD4	GAP	0	0	0
Incoming_partner_to_CD4	PCDH	0	0	0
Incoming_partner_to_CD4	FLRT	0	0	0
Incoming_partner_to_CD4	UNC5	0	0	0
Incoming_partner_to_CD4	ApoA	0	0	0
Incoming_partner_to_CD4	ApoB	0	0	0
Incoming_partner_to_CD4	ApoE	0	0	0
Incoming_partner_to_CD4	CD160	0	0	0
Incoming_partner_to_CD4	CD276	0	0	0
Incoming_partner_to_CD4	LAIR1	0	0	0
Incoming_partner_to_CD4	MMP	0	0	0
Incoming_partner_to_CD4	Netrin	0	0	0
Incoming_partner_to_CD4	CD200	0	0	0
Incoming_partner_to_CD4	SIRP	-0.0546459176188608	-0.00780655965983726	-0.00780655965983726
